username_name,username_rating,username_inital_statement,username_country,username_verified,username_review,username_usefulness
Rose,4.0 out of 5 stars,Great but hurt after awhile of wearing them,"Reviewed in the United States 🇺🇸 on June 25, 2022",Verified Purchase,I can wear them for about 30 minutes to an hour before they really start to hurt my ears from the top pressing in but the sound quality is great,One person found this helpful
Fer,5.0 out of 5 stars,Buy it,"Reviewed in the United States 🇺🇸 on November 5, 2022",Verified Purchase,The AirPods look brand new! The box was dirty and beat up but the AirPod themselves sound And look amazing!,
Camilo Silva,5.0 out of 5 stars,Better than expected,"Reviewed in the United States 🇺🇸 on October 9, 2022",Verified Purchase,For the price I expected some knock offs but oh how was I wrong. I compared these to my friends AirPod pros (He got his from the Apple Store) and these ones sounded better. Would highly recommend these!,2 people found this helpful
hope j. ellison,5.0 out of 5 stars,Greatly,"Reviewed in the United States 🇺🇸 on December 5, 2022",Verified Purchase,Nice,
Kameron,5.0 out of 5 stars,Worth it,"Reviewed in the United States 🇺🇸 on November 8, 2022",Verified Purchase,Upgraded after awhile with my AirPods and the upgrade worth it. Better sound and better fit,
Jax,5.0 out of 5 stars,Happy with AirPods.,"Reviewed in the United States 🇺🇸 on November 6, 2022",Verified Purchase,These work great and haven’t had any problems at all with them. Happy with my purchase,
rob,5.0 out of 5 stars,if your looking for a little discount than the original price i recommend buying it,"Reviewed in the United States 🇺🇸 on August 26, 2022",Verified Purchase,A couple of scratches but nth to complain about i recommend anyone to get them just know they come in good condition with just a little bit of scratches its just gonna look like u had them for a while but the sound noise cancelation everything work fine i was scared to but there amazing just try it if anything u can always refund,5 people found this helpful
YED,4.0 out of 5 stars,I'm just glad they work!,"Reviewed in the United States 🇺🇸 on September 15, 2021",Verified Purchase,"So I just got these today (Sep. 14, 2021), and I got very scared when they arrived because when I went to go put them on a charger, they at first weren't charging. Then when I got them to turn on, they were flashing orange (which indicates that they're having connectivity issues). But I let it sit for another 10 minutes on the charger and they work AMAZING! Now while in the hallways of my school, I don't have to listen to anyone yelling (and keep in mind we're at high school). And yes we got the ""Where my hug at?"" guys there too lol. But seriously tho, I would recommend this seller, ignore most of the 1 star comments cuz they probably just got defective ones, which was not the sellers fault.",One person found this helpful
Logan,1.0 out of 5 stars,Product Arrived DEFECTIVE!,"Reviewed in the United States 🇺🇸 on September 26, 2021",Verified Purchase,"I’m quite familiar with this product, as these are my 7th pair. (My job causes me to lose/ leave my airpods all the time.)
However, this is the first time I’ve ever purchased a used/refurbished/ renewed pair. But since I lose them all the time, I thought it may be a cost effective option for me. Unfortunately, my device was defective out of the box!
**Story Time**
My Airpods Pro didn’t come with all of the materials that come in the original box and the charger I received [packaged separately] was not even an apple brand. This didn’t bother me much, as I have more than enough accessories for this item.
The device itself appeared clean and undamaged. When I opened the device to check the battery status, it was dead [Apple has a policy of not sending their devices fully charged for shipping safety reasons, so I assumed the previous owner received the item new and returned them without charging it more].
I connected the airpods to my OFFICIAL Apple charger from a previous device and the battery light immediately glowed green. Confused, I then proceeded to pair it to my phone. The first attempt was successful. I checked my battery notification screen on my iPhone and the airpods case displayed a full 100% charge, yet the airpods themselves were each dead at 1%. After a few seconds of charge, they reached 7% [charging speed rare, but not completely unheard of], so I took the case off the charger and went to test out the sound quality.
As soon as I took an earpiece out- the entire device went off. The case and pods still read as charging on my phone even though I had removed them from charging moments before. I could not find the devise in my drop menu, so I went into settings to manually pair the AirPods again- but they wouldn’t sync. After 4/5 times connecting and forgetting device, I attempted to reattach the charger- NOW the AirPods case is on 0% but the earpieces are both on 13% 🙄. As soon as I plug them back in, the airpods sync again and I am able to hear the pairing chime on my earpiece. SECONDS LATER the airpods die and the phone shows they are on 0% *charging* WHILE they are still in my ears!
Like I said, I’ve had a ton of airpods, I know how to troubleshoot most any problem they give me. I’ve never had to deal with this kind of headache before- ESPECIALLY on day 1. I’m so over it! I’m going to an Apple store first thing in the morning. This was a horrible experience.",7 people found this helpful
Sebastian Rodriguez,4.0 out of 5 stars,"Works good, somewhat satisfied appearance","Reviewed in the United States 🇺🇸 on July 15, 2022",Verified Purchase,Works good. Small scratched on case when arrived and grime on the actual airpod,
EL--JULIO,4.0 out of 5 stars,"Airpods en muy buen estado, pero tiene activa una cuenta de usuario anterior","Reviewed in the United States 🇺🇸 on May 16, 2022",Verified Purchase,"Producto en muy buen estado y funcionando correctamente pero tiene cargada aún la identidad de un usuario de Apple anterior. Por favor, agradezco que eliminen de su cuenta Apple este dispositivo para que pueda darle de alta con mi cuenta.",
Jeremy Phelps,4.0 out of 5 stars,Dirty,"Reviewed in the United States 🇺🇸 on October 15, 2021",Verified Purchase,"These are refurbished and the only AirPods in stock. They were delivered within 24 hours of ordering. Outside packing was undamaged and clean. The AirPod box however was very dirty and black smudges all over it. There were specks of dirt on the case itself and inside of it. Cleaned it all off with a Clorox wipe and went about our business. Now I know these are used but seriously they could have taken the time to wipe everything down. The charger cord is different from what came with the new unopened set we purchased last year. Also very dirt.
Other than the filth they seem to be working well.",One person found this helpful
Alan Turner,4.0 out of 5 stars,They stayed true to their word,"Reviewed in the United States 🇺🇸 on April 15, 2021",Verified Purchase,"Ok so I’m giving this product 4 stars and the only reason it isn’t 5 is because I’ve only had em for 48 hours.. This product came in on time, it was in an Apple AirPods Pro box, with headphones/case and charging cable plus all of the instructions. I’m not going to lie after some of the reviews, I felt like I was going to be scammed but from the moment I’ve connected them, they’ve played beautifully. I have no connection issues, my case charges just fine, my headphones charge just fine.. I literally have nothing bad to say about em. They came clean with no visible marks. I personally wouldn’t know the difference between these and brand new ones. So I’m not sure what went wrong with those who put up negative reviews up but thank you for the AirPod Pros! I’m very happy with this product.",2 people found this helpful
Amazon Customer,4.0 out of 5 stars,Good condition with all accessories,"Reviewed in the United States 🇺🇸 on March 12, 2022",Verified Purchase,"These came with a few smudges and scratches, but if you are used to buying renewed products this is completely normal. I gave 4 stars because they came with 1 large tip and 2 medium tips without the small tips. I am small, so I needed the small tips and therefore had to order them separately. Every thing else was great!",2 people found this helpful
Ronald Rivera,5.0 out of 5 stars,Best decision ever!,"Reviewed in the United States 🇺🇸 on August 24, 2022",Verified Purchase,I was a bit skeptic because of the bad reviews but I can honestly say I'm glad I ordered them for that price. My teenage daughter hasn't stopped talking about them and says the sound quality and noise cancellation really helps while studying. I gotta say I just might get me a pair ... great buy!,9 people found this helpful
Bernadette,5.0 out of 5 stars,I am so happy with this product!!!,"Reviewed in the United States 🇺🇸 on August 31, 2022",Verified Purchase,I was very worried about getting this AirPods pro renewed but I am so glad that I made the decision to get it!!! It is like brand new. No scratches and the quality is great! Battery life is awesome. Lasts longer than my first AirPods. Works great!!!!,One person found this helpful
KC,3.0 out of 5 stars,"Glitchy, lost, untraceable.","Reviewed in the United States 🇺🇸 on April 11, 2022",Verified Purchase,"I’ve had some glitches since the beginning with these - spotty use when I’m on a call if I’m in my car, and my phone constantly telling me I’ve left them behind when they’re in my hand. Wasn’t a huge deal that the location services clearly weren’t accurate…until i misplaced one of them. And now it’s telling me the one I’ve lost is in the middle of a highway where it clearly is not and I have no way of knowing where I actually lost it. Very frustrating given how much I spent on these and the fact that they’re supposed to have such great ability to be tracked if lost. Of course my phone did NOT attempt to notify me when I had, in fact, left one of them behind. Pretty disappointing. Should’ve just purchased brand new.",
Jacob Averett,5.0 out of 5 stars,Like brand new,"Reviewed in the United States 🇺🇸 on November 7, 2022",Verified Purchase,I like that they read my notifications to me and cancel the noise.,
Nadia,5.0 out of 5 stars,Excellent Condition (Brand New) - can't tell it's refurbished,"Reviewed in the United States 🇺🇸 on September 26, 2022",Verified Purchase,"Very impressed with A4C. Excellent condition. It's refurbished, but you won't see any difference between this and a brand-new product. Set up in seconds, each pod and charging case works 100% Brand new cable and ear tips.",3 people found this helpful
Gabriel Gomez,5.0 out of 5 stars,Insane purchase!,"Reviewed in the United States 🇺🇸 on October 16, 2022",Verified Purchase,"These AirPods literally look, feel and sound brand new. I’m genuinely impressed with the overall quality for “Renewed”. These can easily pass for brand new!",One person found this helpful
Ariel D.,3.0 out of 5 stars,Quality up for grabs,"Reviewed in the United States 🇺🇸 on September 30, 2022",Verified Purchase,"The sound quality isn’t as loud as other airpod pros I’ve received. I didn’t quite expect them to be perfect or still in plastic when received them, but I still expected them to have better quality than I’ve received.",One person found this helpful
Ford power,5.0 out of 5 stars,Sound of music,"Reviewed in the United States 🇺🇸 on November 9, 2022",Verified Purchase,As described and received ahead of schedule,
Robert Love,5.0 out of 5 stars,worked like new.,"Reviewed in the United States 🇺🇸 on November 6, 2022",Verified Purchase,"Worked great, no problems or blemishes. Very good product.",
Hectorb95,3.0 out of 5 stars,Worked good,"Reviewed in the United States 🇺🇸 on September 13, 2022",Verified Purchase,I tried them out and worked but the thing is it looked like they weren't going to last long because they where cracked open by the ear tip and airpod connecting area. I couldn't keep them because of that. I'll just buy new even tho it's going to be my second pair.,
JB,5.0 out of 5 stars,Great purchase!,"Reviewed in the United States 🇺🇸 on October 11, 2022",Verified Purchase,Bought these for my husband for his birthday because he lost his last pair. Condition was mint and they work fantastic. Definitely recommend ⭐️⭐️⭐️⭐️⭐️,
Alexander,4.0 out of 5 stars,Buenas condiciones,"Reviewed in the United States 🇺🇸 on June 3, 2022",Verified Purchase,"El producto se ve en buenas condiciones está en prueba, la entrega se tardó 3 días más de lo previsto.",
Kamari Brown,5.0 out of 5 stars,Great!,"Reviewed in the United States 🇺🇸 on September 6, 2022",Verified Purchase,They appear to be (and function) like they are brand new. I went from the first generation of the AirPods so there is a substantial difference with these ones and they are great. Very happy with the purchase.,One person found this helpful
planet j,5.0 out of 5 stars,I recommend these 100%,"Reviewed in the United States 🇺🇸 on September 19, 2022",Verified Purchase,They got here really quick and i checked them out and they are legit and look brand new (i went through the seller chubbiestech) i would definitely buy again !!,
Ashley Adams,3.0 out of 5 stars,Great quality.,"Reviewed in the United States 🇺🇸 on October 5, 2022",Verified Purchase,I was super nervous at first because they were “refurbished” but they were in excellent condition. Works perfectly!! So happy with my purchase,
Ina Jones,5.0 out of 5 stars,MUST BUY!!!!,"Reviewed in the United States 🇺🇸 on August 6, 2022",Verified Purchase,I was scared to buy these at first because there such a huge price difference. T-mobile wanted $250 for the exact same ones amazon was selling for $159 however i took a leap of faith and mannnnn i’m so glad i did they are 100% legit airpods and the sounds amazing. Amazon does it once again!,14 people found this helpful
Rolando Nunez,5.0 out of 5 stars,Battery life,"Reviewed in the United States 🇺🇸 on November 18, 2022",Verified Purchase,Small,
Juan G. Vargas Garcia,5.0 out of 5 stars,Light & comfortable,"Reviewed in the United States 🇺🇸 on October 13, 2022",Verified Purchase,"They do a good noise cancelation. Not like a Bose but still very good.
Sound quality, same!",
Y. Kim,5.0 out of 5 stars,Shady practice but I got lucky,"Reviewed in the United States 🇺🇸 on November 13, 2021",Verified Purchase,"Part 1: ""amazon renewed""
it sounded like amazon returned item so I ordered with confidence but afterwards found out it was a random marketplace vendor with many nightmare reviews. Luckily mine turned out to be great: charging case has some minor scratches but overall like new as described and am very happy. However I am disappointed with amazon playing this vague game hiding the product origin... if it was clear I wouldn't have ordered it.
Part 2: airpods pro
This is my first wireless ear buds, have had bose wireless headphones for years, and wow.... this is a whole new level of freedom. Sound quality, noise canceling aren't as good as headphones of course but it's really pretty good and the convenience and comfort ... absolutely worthwhile tradeoffs especially for people like myself wearing eyeglasses.. wish I had it sooner",
Alexander Benitez,4.0 out of 5 stars,"Almost new, few minor scratches on case","Reviewed in the United States 🇺🇸 on May 10, 2022",Verified Purchase,"Mine came almost new, just a few almost invisible scratches on the case. So far so good, awesome sounds quality and connection between apple devices.",
Ashley Mullins,4.0 out of 5 stars,They are renewed soo,"Reviewed in the United States 🇺🇸 on April 14, 2022",Verified Purchase,When I have a hoodie on it’ll rub against and I can here it but other then that they’re great small bug issues but other then that I have no problems with em,
Stephanie L,5.0 out of 5 stars,Why pay full price when you can get these?!,"Reviewed in the United States 🇺🇸 on March 3, 2021",Verified Purchase,"I’ve been debating the purchase of AirPods for awhile.
I have a $30 pair of wireless earbuds that work great and have decent battery life, so why?
Well, I enjoy my Apple products and then my daughter got a pair of AirPods for her birthday. I used them one day and I really liked them.
I started to look into the AirPods Pro and then the price jumped up.
So when I came across the refurbished product, I figured I’d give it a shot.
I received the product with plastic on it and all of the original accessories packaged, seemingly untouched.
So glad I didn’t pay full price! Love a deal.
I like the noise canceling option, something my beloved $30 pair doesn’t offer, along with the spacial audio and transparency option.
Battery life has been great so far.
The different sized ear buds are handy and I’m still figuring out all the things the AirPods can do when paired with my iPhone.
I’d definitely buy again.",2 people found this helpful
Veronica,3.0 out of 5 stars,Battery dies so fast. Has a crackling static sound.,"Reviewed in the United States 🇺🇸 on November 4, 2022",Verified Purchase,"Dies quickly, static",
Sarah JoAnn Castellon,5.0 out of 5 stars,perfect,"Reviewed in the United States 🇺🇸 on September 4, 2022",Verified Purchase,"they were delivered quick, and everything came great. they work so well, the sound quality and noise cancellation is amazing. i wouldn’t ever be able to tell they are refurbished! they work perfectly 10/10 recommend!",
Dylan Sturgis,5.0 out of 5 stars,Don't let the scary stories in the reviews here dissuade you too much.,"Reviewed in the United States 🇺🇸 on May 20, 2021",Verified Purchase,"I was honestly concerned, seeing the reviews here, about what I'd get when the product arrived. Lotta horror stories about buzzing noises or otherwise non-functioning earbuds.
My experience? I paid $30 less, and aside from minor cosmetic defects on the case, they're absolutely flawless. All the features that I wanted to work, work (even with an Android phone, no less) -- Wireless charging, active noise cancellation, transparency mode, the whole nine yards. They're earbuds, so they're not exactly studio monitor quality when it comes to sound, but the sound is clear and detailed enough for 95% of listeners, and isn't too heavy on bass or too thin.
For $30? Yeah, I can deal with a couple scuff marks. It's a piece of technology to be used and enjoyed, not a fashion statement. Totally recommend buying these in lieu of a brand new set, and even on the off-chance you do get a dud, Amazon's return policy is kick-ass.",17 people found this helpful
John M. Livelsberger,5.0 out of 5 stars,Another great refurbished Apple product.,"Reviewed in the United States 🇺🇸 on September 22, 2022",Verified Purchase,Great refurbished product. Works good sounds fantastic and I love these ear buds. Finally Apple ear buds that don’t fall out of my ears. Highly recommend.,
Billy Saggio,5.0 out of 5 stars,Works like new,"Reviewed in the United States 🇺🇸 on November 6, 2022",Verified Purchase,Works like new,
Katerina,5.0 out of 5 stars,As good as new,"Reviewed in the United States 🇺🇸 on October 21, 2022",Verified Purchase,Clean and works well. A great way to save money.,
Kha To,4.0 out of 5 stars,good,"Reviewed in the United States 🇺🇸 on July 3, 2022",Verified Purchase,good,
LEE TONG SENG,4.0 out of 5 stars,Good noise cancellation but lasted 3 weeks only,"Reviewed in the United States 🇺🇸 on March 1, 2022",Verified Purchase,Good noise cancellation but lasted for only 3 weeks and the RHS earbud NC gave way and failed to work. Sent to repair on 01- Mar-2022. “Renewed “ item though 3/4 of the original price but quality also discounted!,
Esteban Castro,5.0 out of 5 stars,Excellent purchase,"Reviewed in the United States 🇺🇸 on July 28, 2022",Verified Purchase,"It was a good purchase. The sound quality is terrific, they work pretty well and they arrived in excellent condition. The AirPods and the charger were clean and working very well too. The box was a little scratched, though.
Anyway it's definitely a excellent purchase.",2 people found this helpful
CTupper,5.0 out of 5 stars,"Perfect condition, great sound quality and an awesome deal!","Reviewed in the United States 🇺🇸 on March 29, 2021",Verified Purchase,"Airpods - The headphones themselves are awesome. Everything sounds great and the noise cancellation is really unlike anything i’ve experienced. I used them on a plane for the first time and was shocked by how much sound these cancelled! As for the battery life, I wear them a few hours daily and I’ve never heard the dreaded 10% battery sound.
Amazon Renew - These came in the original box with all of the accessories you get with a brand new pair. There are zero visible scratches or imperfections anywhere and when compared to my boyfriends unused pair I truly couldn’t find a single difference. This is a great option if you want to save a little money! I saw reviews saying these were fake or that this is a scam which I knew wasn’t true when I bought them but I can now say with 100% certainty that I believe these are authentic.",
Bernard K Hurley,2.0 out of 5 stars,Don’t purchase ‘Renewed’ AirPods,"Reviewed in the United States 🇺🇸 on December 12, 2021",Verified Purchase,"I listen to podcasts and audiobooks. As such, I’ve purchased many earbuds over the last 10 years, most of which were < $100. Wanting a durable earbud with good audio (particularly for making / receiving calls), I finally chose the Apple pro. To save money I chose a ‘Renewed’ Apple product.
I made my purchase on Nov 19, and have been very content with the quality - so much so that I decided to order another pair for my wife on Dec 8. However, on Dec 9 I began having connection problems with my earbuds. So I decided to do what I sometimes do with Amazon, I decided to exchange. This is when I discovered the pitfalls of buying a ‘Renewed’ Apple product.
First, unlike most Amazon purchases, there is no return / exchange option for renewed Apple EarPods. There is, however, bureaucracy. After a closer look at my options and an hour on the phone with Amazon and Apple, I discovered that my earbud warranty (with the vender) expired on Dec 10. My only option was to send the buds to Apple for repair.
I immediately decided to cancel my second Amazon (earbud) order. However, just like my first order, there was no cancel option for the second earbuds. They were in the mail. I received them the next day.
At this time I have initiated returns through customer service and I’m waiting for follow up via Amazon. I will modify this review accordingly.
The lesson, if you want Apple EarPods, buy new.",
Kasey Farley,5.0 out of 5 stars,Works just like a brand new pair. No issues,"Reviewed in the United States 🇺🇸 on October 9, 2022",Verified Purchase,They work just like my brand new air pod pros but for half the price!,2 people found this helpful
shopaholicme,5.0 out of 5 stars,Looks and feels NEW,"Reviewed in the United States 🇺🇸 on June 3, 2021",Verified Purchase,"I have yet to have a problem with any products I buy renewed by Amazon. I made sure I purchased from Amazon and shipped from Amazon. They came in original box and look and feel new. I have the charger,instruction book, and everything looks new! I was able to pair it with my phone and computer. It took a bit to pair even though my iphone recognized my airpods. I just turned on and off the blue tooth and now it's like nothing. I received these in one day and i am also using them as we speak with my air mac computer and they paired easily via sound and turning on bluetooth. The sound is clear and I am loving them. So glad I got them renewed and with a discount with my credit card.. I couldn't pass these up.",
weecho,5.0 out of 5 stars,lovely sound,"Reviewed in the United States 🇺🇸 on October 2, 2022",Verified Purchase,Great sound better then other brands .noise cancellation is the best sound quality can’t ask for better sound,
AliaJenea,2.0 out of 5 stars,Attached to find my iphone,"Reviewed in the United States 🇺🇸 on December 21, 2022",Verified Purchase,I mean they worked great and all but they were still attached to someone else’s find my iPhone so I had to return them and the return took well over a month. I had to end up reaching back out to people 3 different times (after they already received the item back) before they gave me my money back.,
Will,4.0 out of 5 stars,"Brand new quality, bluetooth issues","Reviewed in the United States 🇺🇸 on December 15, 2021",Verified Purchase,"Battery life, sound quality, noise cancellation are all good. They felt just like they were brand new except I had connection issues for the first couple weeks. My phone kept forgetting the device and I had to reset the AirPods every time I closed the case. I don’t have this problem anymore and they work perfectly, but it was extremely tedious before they somehow fixed themselves.",
Andrea R,5.0 out of 5 stars,Great sound - worth the price,"Reviewed in the United States 🇺🇸 on July 14, 2021",Verified Purchase,"I've had these ""refurbished"" wireless earbuds for about 8 months and they are worth the price. I haven't had any issues with them, which makes me think they were bought and returned and not refurbished in any way. I'm glad I bought these instead of paying full price for the same product. I've always been happy with Apple products. I use these at work to listen to music and cancel out the sound around me so I can focus on my reporting. I paid a little more and bought these Pro earbuds after reading other reviews and because of their noise cancelling. The lack of wires makes it easier to walk around and keep them in my ears. They have a great battery life too. I only have to charge them every couple of days or so.",
Brandon,5.0 out of 5 stars,Just like new,"Reviewed in the United States 🇺🇸 on September 21, 2022",Verified Purchase,"Save the extra money and get you a pair of theese! They are just like new, everything works perfectly.",
acardonad,5.0 out of 5 stars,Great quality,"Reviewed in the United States 🇺🇸 on October 5, 2022",Verified Purchase,Excelente buy! Delivery right on time! Will definitely buy again,
Enjoy the sunshine,4.0 out of 5 stars,Broken twice,"Reviewed in the United States 🇺🇸 on May 18, 2022",Verified Purchase,Buy the plan to go with them,
Anhuar Kaleb Cortes Mayorga,5.0 out of 5 stars,Buena opción,"Reviewed in the United States 🇺🇸 on September 15, 2022",Verified Purchase,"AirPods originales, buen aspecto físico y funcional, algunos rayones en el case MagSafe, buen precio y envío súper rápido a Colombia.",
brad,4.0 out of 5 stars,Only had them a day but they seem to be as good as new.,"Reviewed in the United States 🇺🇸 on February 28, 2022",Verified Purchase,They’re in perfect shape and came with the original box and all it’s contents. I confirmed that these are 10% authentic through the serial number on the Apple Website.,
Brandon,5.0 out of 5 stars,I love them,"Reviewed in the United States 🇺🇸 on March 23, 2022",Verified Purchase,My AirPods Pro got delivered today and I love them!! I was kinda doubting them because of their price but I love it they act and sound like the new versions it is recommended to buy you will love them they don’t come with a box or at least mines didn’t they come in tiny plastic bags the case in one and a brand new charger in one these are the best I love them and I’m sure you will toooooo!!!,
Julie Guzik,2.0 out of 5 stars,AIRPODS STILL ARE CONNECTED TO PREVIOUS OWNER!!!!,"Reviewed in the United States 🇺🇸 on December 12, 2022",Verified Purchase,These work perfectly fine BESIDES the fact that the PREVIOUS owner is still linked to these AirPods making it to where I can’t track my AirPods when I loose them! And I constantly get ANNOYING updates saying the owner can see and is TRACKING my location which is honestly creepy as well.,
outofethers,1.0 out of 5 stars,Dirty and noise transparency does not work,"Reviewed in the United States 🇺🇸 on August 6, 2021",Verified Purchase,"So I was willing to give these a shot because of the money I’d save compared to buying new ones.
The first pair I got was nasty. The case was so scuffed and dirty, opening the case and looking at the buds you could see ear wax inside the tips. Really, really gross. Definitely not “good” condition and definitely not worth the 192 dollar price tag. Nevertheless, I cleaned them with some isopropyl to give them a shot. They paired to my phone pretty seamlessly, as I’d expect from owning the 1st generation AirPods for years. The sound was good, but the advanced sound features did not work. You could not tell a difference when in noise suppression or noise transparency to even just having the features off. No difference at all. So I requested an exchange and sent that pair back.
Second pair was in a lot better shape than the first ones I was sent, so that was nice. Although the earbud tips still had earwax in them (seriously amazon, the least you could do is clean the damn used products you’re trying to resell). Anyway, same as the first set, they paired to my phone with no problems and the sound in them was fine. Still tho, none of the advanced sound features work. Again, I could not tell the difference between noise suppression, noise transparency or the features being off altogether. I’m sure it’s not my phone either, as I tried pairing them to my girlfriends phone as well, with the same results.
In the end, I requested to return for a full refund and I would rate the overall experience a 1/5 because of the gross ear tips and the exceptionally poor shape of the first pairs case.
If you’re planning to buy used from Amazon warehouse, just be aware that you may be getting a product in way worst condition than what’s advertised, with somebody else’s earwax in the AirPod tips and with critical features that don’t work. Which is probably why the original owner ended up selling them anyway.",2 people found this helpful
Jack,4.0 out of 5 stars,You can use noice cancellation with videos it’s amazing,"Reviewed in the United States 🇺🇸 on May 2, 2022",Verified Purchase,Love the sound the noice cancellation with music is amazing,
Ali,5.0 out of 5 stars,Buen producto,"Reviewed in the United States 🇺🇸 on October 24, 2022",Verified Purchase,Bueno,
linny,5.0 out of 5 stars,Liked,"Reviewed in the United States 🇺🇸 on October 21, 2022",Verified Purchase,Liked,
Kim,5.0 out of 5 stars,Excellent!,"Reviewed in the United States 🇺🇸 on October 18, 2022",Verified Purchase,Excellent product!,
Jimmy Spears,3.0 out of 5 stars,I’d buy new ones,"Reviewed in the United States 🇺🇸 on September 29, 2022",Verified Purchase,"Sounds ok, fits good, tap feature doesn’t work",
Andrew,4.0 out of 5 stars,For the price they look great sound great battery is meh,"Reviewed in the United States 🇺🇸 on March 26, 2022",Verified Purchase,Unfortunately the battery seems to drain rather quickly it happens with battery’s other than that they look and sound great,
Meagan Crane,2.0 out of 5 stars,Did not work!,"Reviewed in the United States 🇺🇸 on December 28, 2022",Verified Purchase,The left ear bud did not function correctly and would emit a static sound which made everything sound distorted. This was to be a Christmas gift for my husband and it was a bust. I hate that this gift was ruined.,
Amazon Customer,5.0 out of 5 stars,No different than a new set. Buy it!,"Reviewed in the United States 🇺🇸 on September 10, 2022",Verified Purchase,Product was like purchasing a brand new set straight out the apple store. There’s no difference except a cheaper price.,One person found this helpful
Otto Frankowski,2.0 out of 5 stars,Doesn’t come with wall outlet,"Reviewed in the United States 🇺🇸 on February 9, 2023",Verified Purchase,"Didn’t come with an outlet to usb brick, have to buy another product just to charge",
Elizabeth Lykins,4.0 out of 5 stars,Happy to have purchased!,"Reviewed in the United States 🇺🇸 on January 13, 2022",Verified Purchase,"Great sound quality. Cancels most outside noise even when not in “noise canceling” mode. Easy to use and extremely useful in my life. Battery does drain more quickly than I anticipated, but charge is also fast.",
leonel,4.0 out of 5 stars,Air pods pro,"Reviewed in the United States 🇺🇸 on May 17, 2022",Verified Purchase,Good quality air pods pro.,
Tom6721,5.0 out of 5 stars,AirPods Pro are the best,"Reviewed in the United States 🇺🇸 on August 8, 2022",Verified Purchase,"My first foray into AirPods. Love these! Setup is easy and sound quality is fantastic. I can easily switch from iPhone, Fire TV, and Windows laptop. I definitely recommend these AirPods.",
Kenneth J. Doyle,5.0 out of 5 stars,Buy directly from Amazon,"Reviewed in the United States 🇺🇸 on September 25, 2021",Verified Purchase,"I note some one star reviews. If you order ""renewed"" order directly from Amazon. You take a chance if you order from other vendors at different price. My Amazon order comes with guaranteed back up. Condition stated: NEW. Came with no blemishes, no scratches, no dirt... All packaging and contents were new. Works as advertised. I am very pleased. I place in ears and do work out and around my home and never loose contact. Don't even carry phone with me. Good sound cancelling with just enough allowance for safety. I have an Apple iphone 7 for a point of reference. Good job Amazon.",One person found this helpful
Juan Tangarife,5.0 out of 5 stars,Excelente sonido y de muy buena calidad,"Reviewed in the United States 🇺🇸 on March 18, 2022",Verified Purchase,"El sonido es perfecto, tiene muy buenos bajos , la cancelación de ruido es buena, las funciones que dan los audífonos para cambiar su sonido y para utilizar tu iPhone son muy buenas . El producto se nota de buena calidad y está bien construido , contenía su cable de carga y gomas de cambio para los audífonos como también la caja de carga y los audífonos todo en excelente estado , los recomiendo mucho",One person found this helpful
Joey,2.0 out of 5 stars,Left airpod charging issues,"Reviewed in the United States 🇺🇸 on October 25, 2022",Verified Purchase,"I recently bought new airpods and i ordered this pair of airpods. Everything was amazing until one day the left airpod did not charge over night, i just reinserted the airpod and it started to charge like normal again, but recently the problem has gotten worse to the point where the left airpod will not charge at all. i have looked up solutions and none of them worked, very dissatisfied at the fact that it wont charge and it seems like nothing is working.",
Kelton onochie,5.0 out of 5 stars,Feels as good as new,"Reviewed in the United States 🇺🇸 on June 8, 2022",Verified Purchase,"I bought these pros a couple of weeks ago, and I absolutely love them, nothing seems to be wrong with it, in fact if the description didn’t say refurbished, it could legit pass off as new, based on how well it works and looks.",
Timothy Lindvall,3.0 out of 5 stars,One was defective return easy,"Reviewed in the United States 🇺🇸 on August 28, 2022",Verified Purchase,One was defective and picked up static through mic. Returned and got a new pair which are amazing,
Ms. Brenda E,5.0 out of 5 stars,Love these!!!!,"Reviewed in the United States 🇺🇸 on September 24, 2022",Verified Purchase,Sound is perfect I will buy again. Price excellent.,
Brad Klosinski,5.0 out of 5 stars,Like new!,"Reviewed in the United States 🇺🇸 on September 26, 2022",Verified Purchase,You’d never know these are renewed vs new.,
Mica Orne,5.0 out of 5 stars,Great product,"Reviewed in the United States 🇺🇸 on October 10, 2022",Verified Purchase,I’m very satisfied,
Ruyam Canan Tugberk,3.0 out of 5 stars,right part was not working properly,"Reviewed in the United States 🇺🇸 on September 18, 2022",Verified Purchase,right part was not working properly,
Marquette Smith,5.0 out of 5 stars,Not bad,"Reviewed in the United States 🇺🇸 on September 5, 2021",Verified Purchase,"I am in use of the AirPod pro and Beats powerbeats, the left ear stop working and will go out. The AirPods: nice if you have a problem, remove them and reset it up. The range away from the phone 60 feet. Great listening quality, I move to the airpod pro. They're automatically on and always connected. AirPods can even sense when they're in your ears and pause when you take them out. You have the freedom to wear one or both AirPods, and you can play or skip forward with a double-tap when listening to music or podcasts.
Assistant Support: Siri
Connectivity: Wireless",4 people found this helpful
Linzee B.,5.0 out of 5 stars,Just like new,"Reviewed in the United States 🇺🇸 on August 2, 2022",Verified Purchase,Works like the new ones would. Just wish they were more comfortable to wear in ears for prolonged periods of time. They start to hurt my ears after a while.,One person found this helpful
NGERAK F.,4.0 out of 5 stars,Great sound quality,"Reviewed in the United States 🇺🇸 on March 22, 2022",Verified Purchase,The only thing is they keep falling out the case every time I drop them,
